Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_yaw_joint,head_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint
11,-1.65841244,-0.303919613,106.183457,0.531993464,0.756686016,-0.0588970828,0.872501064,-0.380625392,1.64367478,0,0,-1.20442457,14.7460386,-26.6667063,66.2962408,-4.31009056,-3.11310375,-20.3287876,-5.77760537,-17.935824,41.9174617,68.3989282,11.7202179,-3.75019391,20.6307384,-7.66240076,1.57391432,2.18507463,11.6352341,-4.60369648,-1.65938379,-8.97286049,-2.5718866,-4.89832865,14.1334185,-5.9114711,1.26988328
12,-1.65306479,-0.301995268,106.177235,0.529995934,0.759200859,-0.0614689678,0.86533721,-0.370311512,1.64162327,0,0,-1.2049268,14.7544415,-26.6855098,66.2957763,-4.33826423,-3.08929926,-20.3193227,-5.77577786,-17.9389284,41.950134,68.4060248,11.713678,-3.73038252,20.5987526,-7.65990177,1.57557576,2.18320871,11.6339722,-4.61318532,-1.65947354,-8.97061165,-2.57103133,-4.89639485,14.1327576,-5.92043956,1.27877833
13,-1.64852887,-0.297747483,106.18037,0.534046616,0.759048397,-0.0528852292,0.824917004,-0.350768794,1.65129044,0,0,-1.16730654,14.6424468,-26.4649084,66.3248525,-4.12604044,-3.09522124,-20.3731019,-5.79302793,-17.9626172,42.0083033,68.4149587,11.7147955,-3.71645022,20.6507081,-7.66499965,1.56810002,2.17904763,11.643724,-4.60992989,-1.65404866,-8.96750392,-2.58032338,-4.89875383,14.1337463,-5.91985003,1.27377126
14,-1.64282378,-0.302470429,106.18813,0.535294898,0.759376235,-0.038550732,0.857947052,-0.389123241,1.66313516,0,0,-1.19685864,14.6719806,-26.5112341,66.3508072,-4.13285099,-3.10708336,-20.3455831,-5.7885977,-17.921455,41.982813,68.4279087,11.7420249,-3.71218391,20.6234847,-7.66703675,1.56817045,2.17042622,11.6476983,-4.6010293,-1.66774693,-8.96464805,-2.58097011,-4.91254654,14.1394282,-5.91590133,1.26359844
15,-1.63487568,-0.29982035,106.188703,0.536379862,0.760526448,-0.0411282204,0.830430034,-0.371525605,1.67067537,0,0,-1.17898574,14.6092402,-26.3932375,66.3639348,-4.05313457,-3.10346784,-20.325574,-5.81289012,-17.9416382,42.0085287,68.4428668,11.7151703,-3.70745955,20.6787717,-7.66570999,1.567225,2.1812715,11.6518477,-4.61020907,-1.67787204,-8.96483844,-2.58299825,-4.91391002,14.1460774,-5.93101953,1.26342022
16,-1.62869412,-0.299007888,106.191039,0.531964242,0.762529717,-0.0432305533,0.875577051,-0.373146014,1.66474634,0,0,-1.18251022,14.6248625,-26.4493629,66.3720013,-4.10767705,-3.11294452,-20.3830398,-5.80416285,-17.9538592,42.042905,68.4429761,11.7818629,-3.68855359,20.6907843,-7.66328015,1.57406651,2.17983652,11.6500906,-4.61435073,-1.68918059,-8.96516629,-2.57694393,-4.9105645,14.1484176,-5.92683433,1.24722979
17,-1.62445195,-0.293843239,106.195688,0.532819389,0.764207583,-0.0437168438,0.862336729,-0.356231184,1.67421736,0,0,-1.16320075,14.5226231,-26.2668004,66.412074,-3.88747303,-3.08961153,-20.3692651,-5.81288201,-17.9617327,42.0883087,68.4542664,11.8113283,-3.67760778,20.6889213,-7.66505002,1.57103753,2.18178803,11.6535936,-4.60909361,-1.66495103,-8.96346642,-2.57985508,-4.90080374,14.1463104,-5.92520789,1.21492886
18,-1.62046682,-0.28926942,106.203234,0.531993392,0.764447326,-0.0381495165,0.844572047,-0.353930531,1.68620893,0,0,-1.17506478,14.5203623,-26.19278,66.4381858,-3.91875786,-3.11352508,-20.4414089,-5.81024812,-17.9526263,42.1111932,68.451466,11.8175122,-3.66787989,20.6599852,-7.66555973,1.57102729,2.17638108,11.6544961,-4.60059558,-1.67380466,-8.9624769,-2.57990588,-4.90897222,14.1473888,-5.92674468,1.1746602
19,-1.61470976,-0.290306914,106.208837,0.536531284,0.764782417,-0.0381388921,0.865930369,-0.376811211,1.69263421,0,0,-1.16965965,14.5303412,-26.1609769,66.4481237,-3.89987879,-3.14355444,-20.5089766,-5.79628935,-17.9393877,42.0992063,68.4419379,11.8111285,-3.66997206,20.6398874,-7.66615993,1.56796352,2.18396494,11.657293,-4.59233575,-1.68878882,-8.9632359,-2.58336004,-4.91136919,14.1512248,-5.92939949,1.15886059
20,-1.61096007,-0.287178112,106.205976,0.541588498,0.766058362,-0.0340733842,0.834049394,-0.374322461,1.69982694,0,0,-1.1645543,14.5246124,-26.1323669,66.4434997,-3.82799062,-3.10852389,-20.4666362,-5.80679674,-17.9499523,42.1293445,68.4332772,11.8529711,-3.66105738,20.6706728,-7.66720153,1.56035127,2.18461295,11.6602539,-4.60062631,-1.69810754,-8.95939307,-2.5900707,-4.91701092,14.1488829,-5.94018948,1.16455376
21,-1.60800349,-0.28636402,106.205547,0.539986928,0.766967332,-0.03873368,0.830917325,-0.378713499,1.71502069,0,0,-1.17953557,14.5653067,-26.2400295,66.422449,-3.90732796,-3.07090598,-20.3907716,-5.81959609,-17.9443498,42.1754277,68.4350189,11.8894913,-3.67333507,20.6553305,-7.66548886,1.56269968,2.18555082,11.6613297,-4.60250291,-1.69844126,-8.9597841,-2.58692945,-4.9105406,14.1500337,-5.94411257,1.17030436
22,-1.60265099,-0.283427304,106.212246,0.544607519,0.767666155,-0.0321270543,0.817861846,-0.378015672,1.72732549,0,0,-1.13627859,14.4288941,-25.9444292,66.4768925,-3.58935107,-3.14351602,-20.3862978,-5.8248199,-17.9427908,42.1401532,68.4484334,11.8616608,-3.68360981,20.666187,-7.66764549,1.55562702,2.17933578,11.6669552,-4.59246595,-1.68308871,-8.95625033,-2.59431246,-4.91706471,14.1469713,-5.93891266,1.17604364
23,-1.59799606,-0.28385953,106.219721,0.552032445,0.769006932,-0.0298974602,0.831294213,-0.380670188,1.73193085,0,0,-1.15414754,14.4766969,-26.0226297,66.4593457,-3.71548374,-3.14596187,-20.4604259,-5.81938777,-17.9401902,42.1117465,68.4542937,11.8614935,-3.67954969,20.6611805,-7.66855306,1.5474341,2.17200314,11.6706051,-4.57783013,-1.67529525,-8.95410736,-2.60346726,-4.91815412,14.1457452,-5.93917392,1.15152624
24,-1.59379207,-0.286525907,106.217396,0.552785377,0.770080505,-0.0281819076,0.848330519,-0.382223469,1.73533485,0,0,-1.16803791,14.5114558,-26.1497105,66.4530073,-3.79995099,-3.14463702,-20.4063308,-5.81108055,-17.943245,42.1025121,68.4475865,11.8649931,-3.6820124,20.6383865,-7.66786918,1.54561557,2.17400311,11.6705513,-4.58672816,-1.69407208,-8.95142138,-2.6037949,-4.92210496,14.1458596,-5.93597611,1.18175858
25,-1.58970505,-0.284043862,106.211126,0.544656591,0.772254695,-0.0277935537,0.816913517,-0.363772167,1.73533229,0,0,-1.15168387,14.4907859,-26.120047,66.4540592,-3.69103081,-3.12834724,-20.3423866,-5.81208886,-17.9577643,42.1150694,68.4397864,11.8550782,-3.68641958,20.6450596,-7.66278923,1.55323987,2.17217582,11.6614577,-4.59253681,-1.69440227,-8.95065726,-2.59663003,-4.92593072,14.1435946,-5.93764993,1.18550953
26,-1.5870871,-0.282110577,106.20538,0.535046941,0.773863539,-0.031172167,0.812693313,-0.352256548,1.74471483,0,0,-1.14916652,14.4774824,-26.1010574,66.4399958,-3.75835898,-3.07347776,-20.3846262,-5.8248771,-17.9665343,42.1540288,68.433769,11.9079593,-3.68434833,20.6494906,-7.65862196,1.56266094,2.17220207,11.6567731,-4.60558546,-1.69364327,-8.95191743,-2.58596704,-4.92099036,14.1459143,-5.93034462,1.19565076
27,-1.58480853,-0.279695587,106.209421,0.535689623,0.774743469,-0.0307995069,0.80638526,-0.346445204,1.75027973,0,0,-1.15088613,14.4771085,-26.1290953,66.4556369,-3.75665228,-3.11325892,-20.3611781,-5.81100414,-17.970033,42.1406723,68.4129096,11.8873193,-3.66650061,20.6298607,-7.65816007,1.56132073,2.17073444,11.6576388,-4.59609064,-1.68128927,-8.95063079,-2.58797255,-4.91967427,14.1449299,-5.93185067,1.1810666
28,-1.58092659,-0.280739763,106.211913,0.538736709,0.775196044,-0.0238123103,0.784198351,-0.371499032,1.75990368,0,0,-1.15507346,14.5622758,-26.2515657,66.4021907,-3.98919632,-3.08885828,-20.3616357,-5.81886739,-17.9521499,42.1218347,68.3963259,11.8201555,-3.638312,20.6296677,-7.65724824,1.55768739,2.16980404,11.6575825,-4.59328258,-1.68930418,-8.94881225,-2.59315624,-4.92699154,14.147539,-5.92254796,1.20143636
29,-1.57764144,-0.285137468,106.205451,0.531887702,0.776841625,-0.0298410123,0.812258689,-0.360311048,1.76320063,0,0,-1.15434637,14.5516514,-26.2750308,66.4007495,-3.9549617,-3.06933184,-20.3010622,-5.80528257,-17.9518477,42.054407,68.3969543,11.7552175,-3.6475652,20.6392044,-7.65343358,1.5666057,2.1771482,11.6569268,-4.61267605,-1.70948547,-8.94969591,-2.58356943,-4.92537065,14.1497144,-5.92441473,1.23773871
30,-1.57476105,-0.284997188,106.194448,0.523858015,0.780506398,-0.0336095535,0.817029203,-0.317370529,1.77198575,0,0,-1.16101658,14.5207175,-26.2849636,66.3988302,-3.9208671,-3.04947712,-20.2918705,-5.83253247,-17.9813114,42.0781624,68.4078074,11.7829685,-3.64434049,20.651941,-7.64677841,1.57365189,2.17508975,11.6441287,-4.62174654,-1.71566145,-8.95205061,-2.57539006,-4.9183919,14.151819,-5.9353059,1.25415891
31,-1.57385189,-0.288537145,106.192183,0.527654016,0.781275084,-0.039430351,0.835407748,-0.329929193,1.77408902,0,0,-1.12943037,14.4965472,-26.2019529,66.4012481,-3.82809008,-3.08631852,-20.3102215,-5.82683011,-17.9711532,42.0489258,68.4083812,11.7400271,-3.62999027,20.6904342,-7.64828874,1.57099047,2.17649143,11.6494656,-4.62211324,-1.69265631,-8.95020903,-2.57852128,-4.90507858,14.1466391,-5.92978625,1.26984647
32,-1.56971794,-0.281265122,106.196916,0.522837592,0.781359895,-0.0345072967,0.799711632,-0.289809516,1.77747488,0,0,-1.16754357,14.5331519,-26.367416,66.4054828,-4.06661865,-3.08295913,-20.312694,-5.82643524,-18.0031987,42.0842516,68.3906773,11.7158918,-3.63925499,20.6777745,-7.64614747,1.57391667,2.17527587,11.6490703,-4.61506661,-1.6938407,-8.95076142,-2.57762673,-4.91016366,14.154709,-5.91456261,1.27434084
33,-1.56675465,-0.286786095,106.193936,0.527715151,0.783231596,-0.0347374046,0.826128456,-0.329667004,1.78356196,0,0,-1.17088172,14.5682915,-26.3873396,66.3947321,-4.05934919,-3.07059201,-20.2934807,-5.82734067,-17.9551023,42.0143582,68.4135243,11.6893223,-3.66504365,20.692946,-7.6446047,1.57175075,2.17484087,11.647046,-4.62255336,-1.70691507,-8.94964553,-2.57850868,-4.90985502,14.1540123,-5.92418635,1.28386458
34,-1.56196626,-0.28515188,106.187832,0.520372548,0.785693307,-0.0387941442,0.798330013,-0.285530669,1.7835419,0,0,-1.15192357,14.5608961,-26.3884444,66.3676641,-4.09823346,-3.08176193,-20.3238614,-5.84117223,-17.9816239,42.0602434,68.422909,11.7080046,-3.68346126,20.7016665,-7.64350675,1.57708972,2.1848661,11.6511988,-4.64247616,-1.69822035,-8.94675466,-2.57313759,-4.90293347,14.1502267,-5.92585419,1.30638808
35,-1.56021025,-0.29016973,106.182063,0.52771714,0.786805162,-0.0384225951,0.800236863,-0.296192567,1.78958139,0,0,-1.134872,14.5229544,-26.2561317,66.3849991,-3.89702334,-3.07368737,-20.3135632,-5.8445472,-17.9794433,42.0316147,68.4276423,11.6696147,-3.67222773,20.6825146,-7.64450225,1.56851516,2.17888883,11.6528338,-4.63835841,-1.66384892,-8.94443581,-2.58211972,-4.89507918,14.1451647,-5.93461135,1.30667036
36,-1.5573713,-0.29154534,106.182396,0.530898289,0.787870909,-0.0403369986,0.808563504,-0.301603278,1.79193343,0,0,-1.14543841,14.5427551,-26.2946164,66.3879156,-3.92577716,-3.07410764,-20.3402419,-5.84716657,-17.9701167,42.028705,68.4317677,11.6732688,-3.67038657,20.6707633,-7.64345467,1.56698115,2.17522315,11.6520013,-4.63367803,-1.66220679,-8.94475256,-2.5851551,-4.89317826,14.148228,-5.93575712,1.28609954
37,-1.55429356,-0.286887214,106.190217,0.531323355,0.788670285,-0.041868558,0.810121961,-0.287262335,1.79190461,0,0,-1.13975473,14.5086349,-26.2633546,66.4086657,-3.92334646,-3.09472285,-20.3539415,-5.84793838,-17.9810382,42.0168615,68.4321707,11.6758148,-3.66511494,20.6575912,-7.64462605,1.56593517,2.17974751,11.6550954,-4.62621476,-1.67391032,-8.94367339,-2.5857299,-4.89573787,14.1450802,-5.9289995,1.26781577
38,-1.55199775,-0.283995736,106.1921,0.526968168,0.788812581,-0.0415571969,0.787446213,-0.281249981,1.79618927,0,0,-1.12998383,14.4936546,-26.2151676,66.408454,-3.91580081,-3.09595592,-20.3625629,-5.85184056,-17.980934,42.011954,68.420375,11.6542425,-3.64218045,20.6566948,-7.64332404,1.56998035,2.1778167,11.6551219,-4.63538557,-1.6928801,-8.94544411,-2.58248513,-4.89996917,14.1530083,-5.93084023,1.27288227
39,-1.54725108,-0.289380015,106.191385,0.530889324,0.790134889,-0.0389614785,0.78562378,-0.295385164,1.79559398,0,0,-1.12946409,14.5332082,-26.2763525,66.4003739,-3.93862645,-3.08564639,-20.3573293,-5.86949617,-17.9696915,42.0452546,68.4442124,11.7029972,-3.64527623,20.6389124,-7.64227988,1.56539174,2.17738277,11.6542075,-4.63795415,-1.69188161,-8.94280169,-2.58541507,-4.90406771,14.1513955,-5.93762816,1.29199271
40,-1.5448763,-0.295664161,106.191766,0.534545066,0.793086712,-0.0393303431,0.815654787,-0.327632942,1.80059005,0,0,-1.13511522,14.5181272,-26.1661098,66.4293407,-3.73741676,-3.06281605,-20.3980492,-5.86986884,-17.9314954,42.0251841,68.455851,11.7392784,-3.62587337,20.6294765,-7.64755876,1.56493678,2.16736694,11.6598825,-4.62042362,-1.68065513,-8.93880432,-2.58617877,-4.89976427,14.1372954,-5.93664376,1.24970552
41,-1.54407164,-0.287701073,106.196344,0.525773345,0.793718934,-0.0407720226,0.814237843,-0.300607137,1.80965798,0,0,-1.13334087,14.471407,-26.1299217,66.4437592,-3.70212517,-3.07942366,-20.3825959,-5.87939098,-17.9478793,42.046928,68.4525179,11.774669,-3.62798304,20.6262987,-7.64442541,1.57341209,2.16454372,11.6522481,-4.62625959,-1.68155736,-8.94557047,-2.57789226,-4.90264106,14.1481734,-5.93271683,1.22425655
