pitch,roll,J00,J01,J10,J11,det,m0,m1,err,reachable,near_singular
-0.488700,0.349100,-0.268527469,0.382270986,0.516643444,0.868893583,-0.430819593,0.888299925,-0.408493735,1.079e-07,1,0
-0.473573,-0.349100,-0.379682059,0.284728096,0.877013446,0.549599924,-0.458383599,0.390356038,-0.858603623,9.175e-08,1,0
-0.473573,-0.331645,-0.380372145,0.292710827,0.87349972,0.565721414,-0.470867493,0.401202512,-0.844328129,6.373e-08,1,0
-0.473573,-0.314190,-0.381018068,0.300195738,0.869800935,0.581053748,-0.48250251,0.412057765,-0.830389248,4.306e-08,1,0
-0.473573,-0.296735,-0.381608837,0.307216102,0.865921054,0.595665186,-0.49333599,0.422922524,-0.816749119,2.821e-08,1,0
-0.473573,-0.279280,-0.382134213,0.313800771,0.861862421,0.609614465,-0.503407636,0.433797649,-0.803375465,1.786e-08,1,0
-0.473573,-0.261825,-0.382584558,0.319975034,0.857626053,0.622952551,-0.512750952,0.444684143,-0.790240519,1.093e-08,1,0
-0.473573,-0.244370,-0.382950714,0.325761275,0.853211869,0.635723995,-0.521394344,0.455583152,-0.777320198,6.581e-09,1,0
-0.473573,-0.226915,-0.383223905,0.331179488,0.848618849,0.647967991,-0.52936198,0.466495973,-0.764593465,3.843e-09,1,0
-0.473573,-0.209460,-0.383395665,0.336247684,0.843845169,0.659719226,-0.536674475,0.47742406,-0.752041827,2.382e-09,1,0
-0.473573,-0.192005,-0.383457769,0.340982221,0.838888298,0.671008561,-0.543349441,0.488369029,-0.73964893,1.673e-09,1,0
-0.473573,-0.174550,-0.383402184,0.345398062,0.833745069,0.681863582,-0.549401918,0.499332666,-0.727400236,2.772e-09,1,0
-0.473573,-0.157095,-0.383221023,0.349508998,0.828411737,0.692309062,-0.554844743,0.510316938,-0.715282764,3.483e-09,1,0
-0.473573,-0.139640,-0.382906508,0.353327821,0.82288401,0.702367331,-0.559688836,0.521324,-0.703284866,3.598e-09,1,0
-0.473573,-0.122185,-0.382450933,0.356866474,0.817157082,0.712058599,-0.563943442,0.532356207,-0.691396057,3.286e-09,1,0
-0.473573,-0.104730,-0.381846636,0.360136173,0.811225636,0.721401216,-0.567616324,0.543416131,-0.679606861,2.725e-09,1,0
-0.473573,-0.087275,-0.381085966,0.363147517,0.805083851,0.730411899,-0.570713926,0.554506567,-0.667908689,2.074e-09,1,0
-0.473573,-0.069820,-0.380135286,0.365910202,0.798716522,0.739097309,-0.573215491,0.565630557,-0.656293732,8.784e-05,1,0
-0.473573,-0.052365,-0.379043914,0.368434535,0.792135642,0.747489889,-0.57518162,0.576791408,-0.644754873,7.039e-05,1,0
-0.473573,-0.034910,-0.377772895,0.370728205,0.785323479,0.755592202,-0.576583818,0.587992708,-0.633285614,4.908e-05,1,0
-0.473573,-0.017455,-0.376314114,0.372800224,0.778272056,0.763416158,-0.577424272,0.599238356,-0.621880003,4.082e-05,1,0
-0.473573,0.000000,-0.374659346,0.374659346,0.770972733,0.770972733,-0.57770428,0.610532586,-0.610532586,3.929e-05,1,0
