pitch,roll,J00,J01,J10,J11,det,m0,m1,err,reachable,near_singular
-0.907600,0.331645,0.384559202,-0.704167501,-1.00756186,-0.824553089,-1.02658179,-1.0528898,0.698403111,4.283e-06,1,0
-0.907600,0.349100,0.37374073,-0.710327594,-1.00838173,-0.819194661,-1.02244778,-1.06493934,0.691943552,5.218e-06,1,0
-0.889710,-0.349100,0.698996336,-0.356127754,-0.807498054,-0.901667509,-0.917834754,-0.672395801,1.06143595,1.663e-06,1,0
-0.889710,-0.331645,0.693842307,-0.367238204,-0.813419881,-0.905806324,-0.927205605,-0.679238929,1.04825914,1.416e-06,1,0
-0.889710,-0.314190,0.688546129,-0.378264245,-0.819415834,-0.909382557,-0.936107551,-0.686222337,1.03530942,1.195e-06,1,0
-0.889710,-0.296735,0.683105055,-0.389202526,-0.82547546,-0.912426917,-0.944560574,-0.693345174,1.02257884,9.980e-07,1,0
-0.889710,-0.279280,0.677516545,-0.400049638,-0.831588426,-0.914967606,-0.95258234,-0.700606614,1.01006028,8.240e-07,1,0
-0.889710,-0.261825,0.671778278,-0.410802133,-0.837744509,-0.917030637,-0.960188493,-0.708005847,0.997747354,6.710e-07,1,0
-0.889710,-0.244370,0.665888152,-0.421456546,-0.843933563,-0.918640114,-0.967392892,-0.715542089,0.985634317,5.374e-07,1,0
-0.889710,-0.226915,0.65984429,-0.43200942,-0.850145507,-0.919818468,-0.974207831,-0.723214581,0.97371602,4.413e-07,1,0
-0.889710,-0.209460,0.653645047,-0.442457316,-0.856370306,-0.920586662,-0.980644219,-0.731022593,0.961987824,4.413e-07,1,0
-0.889710,-0.192005,0.647289008,-0.452796832,-0.862597965,-0.920964372,-0.98671174,-0.738965423,0.950445555,4.264e-07,1,0
-0.889710,-0.174550,0.640774996,-0.463024621,-0.868818504,-0.920970137,-0.992418995,-0.7470424,0.939085458,3.993e-07,1,0
-0.889710,-0.157095,0.634102073,-0.473137404,-0.875021963,-0.920621501,-0.997773622,-0.755252891,0.927904153,3.625e-07,1,0
-0.889710,-0.139640,0.627269541,-0.48313198,-0.881198377,-0.919935125,-1.0027824,-0.763596296,0.916898601,3.182e-07,1,0
-0.889710,-0.122185,0.620276946,-0.493005247,-0.887337789,-0.918926896,-1.00745135,-0.772072055,0.906066073,2.684e-07,1,0
-0.889710,-0.104730,0.613124079,-0.502754204,-0.893430225,-0.917612017,-1.01178582,-0.780679651,0.89540412,2.150e-07,1,0
-0.889710,-0.087275,0.605810974,-0.512375973,-0.899465694,-0.916005083,-1.01579054,-0.789418611,0.88491055,1.594e-07,1,0
-0.889710,-0.069820,0.598337912,-0.521867802,-0.905434181,-0.914120159,-1.01946969,-0.798288508,0.874583406,1.032e-07,1,0
-0.889710,-0.052365,0.590705415,-0.531227084,-0.911325642,-0.911970832,-1.02282697,-0.807288967,0.864420944,5.021e-08,1,0
-0.889710,-0.034910,0.582914249,-0.540451358,-0.917129996,-0.909570279,-1.02586563,-0.816419665,0.854421618,4.963e-08,1,0
-0.889710,-0.017455,0.574965422,-0.549538328,-0.922837119,-0.906931301,-1.02858851,-0.825680338,0.844584064,5.470e-08,1,0
-0.889710,0.000000,0.566860183,-0.55848586,-0.928436835,-0.904066379,-1.03099808,-0.83507078,0.834907084,9.935e-08,1,0
-0.889710,0.017455,0.558600015,-0.567292005,-0.93391891,-0.900987698,-1.03309647,-0.844590852,0.825389632,1.377e-07,1,0
-0.889710,0.034910,0.550186636,-0.575954996,-0.939273039,-0.89770719,-1.0348855,-0.854240481,0.816030807,1.682e-07,1,0
-0.889710,0.052365,0.541621994,-0.584473259,-0.944488842,-0.894236564,-1.03636666,-0.864019669,0.806829838,1.892e-07,1,0
-0.889710,0.069820,0.532908262,-0.592845421,-0.949555843,-0.89058732,-1.03754117,-0.873928496,0.797786076,1.988e-07,1,0
-0.889710,0.087275,0.524047837,-0.601070317,-0.954463467,-0.886770783,-1.03840997,-0.883967123,0.788898985,1.951e-07,1,0
-0.889710,0.104730,0.515043331,-0.609146988,-0.959201013,-0.882798115,-1.03897369,-0.894135803,0.780168133,1.800e-07,1,0
-0.889710,0.122185,0.505897567,-0.617074696,-0.963757642,-0.878680343,-1.0392327,-0.90443488,0.771593187,2.391e-07,1,0
-0.889710,0.139640,0.49661358,-0.624852923,-0.968122363,-0.874428364,-1.03918709,-0.914864803,0.763173903,3.064e-07,1,0
-0.889710,0.157095,0.4871946,-0.632481376,-0.972283992,-0.87005296,-1.03883662,-0.925426129,0.75491012,3.827e-07,1,0
-0.889710,0.174550,0.477644055,-0.63995999,-0.976231144,-0.865564817,-1.03818076,-0.936119529,0.746801755,4.688e-07,1,0
-0.889710,0.192005,0.467965567,-0.647288929,-0.97995219,-0.860974528,-1.03721864,-0.946945805,0.7388488,5.655e-07,1,0
-0.889710,0.209460,0.458162938,-0.654468589,-0.983435236,-0.856292615,-1.03594901,-0.957905889,0.731051311,6.741e-07,1,0
-0.889710,0.226915,0.448240151,-0.661499605,-0.986668059,-0.851529522,-1.03437025,-0.969000862,0.723409408,7.956e-07,1,0
-0.889710,0.244370,0.438201362,-0.668382842,-0.989638096,-0.846695636,-1.0324803,-0.980231963,0.715923268,9.592e-07,1,0
-0.889710,0.261825,0.4280509,-0.675119399,-0.992332368,-0.841801295,-1.03027663,-0.991600601,0.708593121,1.296e-06,1,0
-0.889710,0.279280,0.417793252,-0.681710615,-0.994737431,-0.836856789,-1.02775619,-1.00310837,0.701419247,1.697e-06,1,0
-0.889710,0.296735,0.407433073,-0.688158058,-0.996839321,-0.831872378,-1.02491533,-1.01475707,0.694401973,2.173e-06,1,0
-0.889710,0.314190,0.39697517,-0.694463533,-0.998623472,-0.826858297,-1.0217498,-1.02654871,0.687541664,2.731e-06,1,0
-0.889710,0.331645,0.386424502,-0.700629074,-1.00007463,-0.82182476,-1.01825458,-1.03848555,0.680838725,3.382e-06,1,0
-0.889710,0.349100,0.375786188,-0.706656949,-1.00117676,-0.816781976,-1.0144239,-1.05057012,0.674293598,4.137e-06,1,0
-0.871820,-0.349100,0.69446932,-0.360217141,-0.803840159,-0.900858201,-0.915175386,-0.654803387,1.04570984,1.367e-06,1,0
-0.871820,-0.331645,0.689414759,-0.371118843,-0.809456638,-0.904435508,-0.923935799,-0.661744248,1.03257552,1.164e-06,1,0
-0.871820,-0.314190,0.684223026,-0.38193482,-0.815153341,-0.907493432,-0.932263346,-0.668825455,1.01965845,9.820e-07,1,0
-0.871820,-0.296735,0.678891305,-0.392661745,-0.820920141,-0.910060063,-0.940175798,-0.676046085,1.00695149,8.197e-07,1,0
-0.871820,-0.279280,0.673416982,-0.403296265,-0.826747048,-0.912161285,-0.947688896,-0.683405237,0.99444826,6.760e-07,1,0
-0.871820,-0.261825,0.667797655,-0.413835013,-0.832624178,-0.913821052,-0.954816594,-0.690902029,0.982143016,5.494e-07,1,0
